3000	 0.2	 Bubonic Bitch	 0.8	 0.4
Next Time Step Initiating...
person#164 has infected person#2281
person#164 has infected person#186
person#164 has infected person#2291
person#164 has infected person#734
person#164 has infected person#540
person#164 has infected person#1773
person#164 has infected person#478
Person#164 has died
person#167 has infected person#750
person#167 has infected person#1065
person#167 has infected person#1787
person#167 has infected person#2027
person#167 has infected person#2019
person#167 has infected person#606
person#167 has infected person#383
person#167 has infected person#1163
person#167 has infected person#2337
person#167 has infected person#314
person#167 has infected person#2772
person#167 has infected person#499
person#167 has infected person#2331
person#167 has infected person#2636
person#167 has infected person#2466
person#167 has infected person#1633
person#167 has infected person#1648
person#167 has infected person#2679
person#167 has infected person#2725
person#167 has infected person#1951
person#167 has infected person#2102
person#167 has infected person#2770
person#167 has infected person#2923
person#167 has infected person#2149
person#167 has infected person#1791
person#167 has infected person#1956
Person#167 has died
person#171 has infected person#66
person#171 has infected person#185
person#171 has infected person#1219
person#171 has infected person#1085
person#171 has infected person#766
person#171 has infected person#1617
person#171 has infected person#2765
person#171 has infected person#512
person#171 has infected person#781
person#171 has infected person#2661
person#171 has infected person#352
person#171 has infected person#477
person#171 has infected person#1931
person#171 has infected person#993
person#171 has infected person#1996
person#171 has infected person#1998
person#171 has infected person#2266
person#171 has infected person#1938
person#171 has infected person#1786
Person#171 has died
person#176 has infected person#1918
person#176 has infected person#2547
person#176 has infected person#528
person#176 has infected person#1243
person#176 has infected person#2280
person#176 has infected person#74
person#176 has infected person#1068
person#176 has infected person#649
person#176 has infected person#2062
person#176 has infected person#260
person#176 has infected person#2893
person#176 has infected person#2077
person#176 has infected person#2580
person#176 has infected person#406
person#176 has infected person#1489
person#176 has infected person#564
person#176 has infected person#1940
person#176 has infected person#2068
person#176 has infected person#1089
person#176 has infected person#1699
person#176 has infected person#2723
person#176 has infected person#1385
person#176 has infected person#1409
Person#176 has died
person#177 has infected person#2201
person#177 has infected person#1162
person#177 has infected person#2135
person#177 has infected person#2603
person#177 has infected person#2998
person#177 has infected person#507
person#177 has infected person#2439
person#177 has infected person#431
person#177 has infected person#2385
person#177 has infected person#1860
person#177 has infected person#335
person#177 has infected person#1673
person#177 has infected person#2341
person#177 has infected person#482
person#177 has infected person#1533
person#177 has infected person#1990
person#177 has infected person#585
person#177 has infected person#1727
person#177 has infected person#1161
person#177 has infected person#2002
person#177 has infected person#2242
person#177 has infected person#2981
person#177 has infected person#1677
Person#177 has Survived the disease
person#178 has infected person#76
person#178 has infected person#2178
person#178 has infected person#77
person#178 has infected person#2485
person#178 has infected person#2412
person#178 has infected person#1790
person#178 has infected person#1299
person#178 has infected person#372
person#178 has infected person#589
person#178 has infected person#367
person#178 has infected person#693
person#178 has infected person#743
person#178 has infected person#239
person#178 has infected person#404
person#178 has infected person#1056
person#178 has infected person#495
person#178 has infected person#2400
person#178 has infected person#1103
person#178 has infected person#2594
person#178 has infected person#415
person#178 has infected person#514
person#178 has infected person#2448
person#178 has infected person#2785
person#178 has infected person#2589
person#178 has infected person#2090
person#178 has infected person#1231
person#178 has infected person#1769
Person#178 has Survived the disease
person#179 has infected person#1317
person#179 has infected person#2455
person#179 has infected person#505
person#179 has infected person#1466
person#179 has infected person#1820
person#179 has infected person#2904
person#179 has infected person#2940
person#179 has infected person#150
person#179 has infected person#2615
person#179 has infected person#2260
person#179 has infected person#266
person#179 has infected person#1123
person#179 has infected person#1859
person#179 has infected person#2662
person#179 has infected person#1666
person#179 has infected person#2029
person#179 has infected person#192
person#179 has infected person#21
person#179 has infected person#1370
person#179 has infected person#806
person#179 has infected person#1273
person#179 has infected person#396
person#179 has infected person#1025
Person#179 has died
person#185 has infected person#1545
person#185 has infected person#2840
person#185 has infected person#224
person#185 has infected person#2290
person#185 has infected person#2536
person#185 has infected person#2118
person#185 has infected person#1821
person#185 has infected person#247
person#185 has infected person#1192
person#185 has infected person#234
person#185 has infected person#1728
person#185 has infected person#2836
person#185 has infected person#2523
person#185 has infected person#27
person#185 has infected person#1465
person#185 has infected person#471
person#185 has infected person#1803
person#185 has infected person#1474
person#185 has infected person#713
Person#185 has died
person#186 has infected person#802
person#186 has infected person#454
person#186 has infected person#861
person#186 has infected person#983
person#186 has infected person#267
person#186 has infected person#2844
person#186 has infected person#2605
person#186 has infected person#2405
person#186 has infected person#1342
person#186 has infected person#2083
person#186 has infected person#2085
person#186 has infected person#1901
person#186 has infected person#149
person#186 has infected person#1621
person#186 has infected person#1532
person#186 has infected person#1440
person#186 has infected person#2037
person#186 has infected person#101
person#186 has infected person#957
person#186 has infected person#932
person#186 has infected person#1475
person#186 has infected person#1226
Person#186 has died
person#187 has infected person#1943
person#187 has infected person#1889
person#187 has infected person#2287
person#187 has infected person#1452
person#187 has infected person#2202
person#187 has infected person#2404
person#187 has infected person#569
person#187 has infected person#2189
person#187 has infected person#702
person#187 has infected person#2264
person#187 has infected person#2001
person#187 has infected person#1580
person#187 has infected person#954
person#187 has infected person#2123
person#187 has infected person#1601
person#187 has infected person#453
person#187 has infected person#845
person#187 has infected person#2406
person#187 has infected person#1128
person#187 has infected person#2153
person#187 has infected person#1020
Person#187 has died
person#190 has infected person#2699
person#190 has infected person#2329
person#190 has infected person#1893
person#190 has infected person#1891
person#190 has infected person#1624
person#190 has infected person#559
person#190 has infected person#728
person#190 has infected person#2180
person#190 has infected person#2853
person#190 has infected person#421
person#190 has infected person#2450
person#190 has infected person#374
person#190 has infected person#258
person#190 has infected person#2720
person#190 has infected person#684
person#190 has infected person#2558
person#190 has infected person#494
person#190 has infected person#433
person#190 has infected person#1594
Person#190 has died
person#192 has infected person#2816
person#192 has infected person#54
person#192 has infected person#508
person#192 has infected person#2538
person#192 has infected person#563
person#192 has infected person#1214
person#192 has infected person#549
person#192 has infected person#97
person#192 has infected person#1356
person#192 has infected person#2209
person#192 has infected person#375
person#192 has infected person#837
person#192 has infected person#1275
person#192 has infected person#809
person#192 has infected person#824
person#192 has infected person#1970
person#192 has infected person#1631
person#192 has infected person#719
person#192 has infected person#1899
person#192 has infected person#1969
Person#192 has died
person#194 has infected person#1922
person#194 has infected person#1528
person#194 has infected person#2316
person#194 has infected person#2958
person#194 has infected person#2789
person#194 has infected person#50
person#194 has infected person#584
person#194 has infected person#2863
person#194 has infected person#2014
person#194 has infected person#2680
person#194 has infected person#1765
person#194 has infected person#1534
person#194 has infected person#550
person#194 has infected person#870
person#194 has infected person#785
person#194 has infected person#680
person#194 has infected person#1547
person#194 has infected person#263
person#194 has infected person#412
Person#194 has died
person#195 has infected person#2724
person#195 has infected person#2501
person#195 has infected person#568
person#195 has infected person#2704
person#195 has infected person#1319
person#195 has infected person#333
person#195 has infected person#2066
person#195 has infected person#1912
person#195 has infected person#866
person#195 has infected person#119
person#195 has infected person#1148
person#195 has infected person#2746
person#195 has infected person#2460
person#195 has infected person#2969
person#195 has infected person#915
person#195 has infected person#456
person#195 has infected person#1506
person#195 has infected person#1735
person#195 has infected person#909
person#195 has infected person#1886
Person#195 has Survived the disease
person#199 has infected person#2463
person#199 has infected person#2879
person#199 has infected person#1311
person#199 has infected person#2820
person#199 has infected person#1542
person#199 has infected person#1364
person#199 has infected person#1159
person#199 has infected person#1612
person#199 has infected person#2667
person#199 has infected person#2357
person#199 has infected person#604
person#199 has infected person#230
person#199 has infected person#986
person#199 has infected person#2663
person#199 has infected person#921
person#199 has infected person#1776
Person#199 has died
person#201 has infected person#2669
person#201 has infected person#2847
person#201 has infected person#503
person#201 has infected person#2355
person#201 has infected person#143
person#201 has infected person#2229
person#201 has infected person#1017
person#201 has infected person#1822
person#201 has infected person#2817
person#201 has infected person#183
person#201 has infected person#770
person#201 has infected person#1136
person#201 has infected person#2926
person#201 has infected person#2477
person#201 has infected person#1013
person#201 has infected person#924
person#201 has infected person#401
person#201 has infected person#2166
person#201 has infected person#2259
Person#201 has died
person#203 has infected person#1061
person#203 has infected person#2693
person#203 has infected person#1095
person#203 has infected person#2599
person#203 has infected person#2858
person#203 has infected person#307
person#203 has infected person#463
person#203 has infected person#2781
person#203 has infected person#1188
person#203 has infected person#1202
person#203 has infected person#1345
person#203 has infected person#2959
Person#203 has died
person#205 has infected person#2689
